"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SWE","Sweden","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2016","2016",47514.2117116605,,
"SWE","Sweden","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2016","2016",47782.7715393682,,
"CHE","Switzerland","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2017","2017",88460.1901138464,,
"CHE","Switzerland","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2017","2017",88282.4991604603,,
"CHE","Switzerland","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2017","2017",88159.0998766409,,
"GBR","United Kingdom","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2016","2016",44680.2169668402,,
"GBR","United Kingdom","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2016","2016",45260.5103681266,,
"GBR","United Kingdom","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2016","2016",45280.1034733013,,
"USA","United States","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2016","2016",60691.6617126804,,
"USA","United States","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2016","2016",60685.8079109297,,
"USA","United States","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2016","2016",60558.3581202393,,
"ISR","Israel","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2016","2016",39902.4543164015,,
"ISR","Israel","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2016","2016",41174.5141977462,,
"ISR","Israel","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2016","2016",42377.9582165425,,
"SVN","Slovenia","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2016","2016",25769.5179617541,,
"SVN","Slovenia","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2016","2016",26559.476498509,,
"SVN","Slovenia","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2016","2016",26712.682972875,,
"EST","Estonia","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2017","2017",15991.7048073317,,
"EST","Estonia","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2017","2017",16758.9213274067,,
"EST","Estonia","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2017","2017",17039.3696242528,,
"MEX","Mexico","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2016","2016",8686.16976200319,,
"MEX","Mexico","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2016","2016",8644.60964645482,,
"MEX","Mexico","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2016","2016",8592.5342401709,,
"MEX","Mexico","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",15480.8207313183,,
"MEX","Mexico","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",15406.7507193331,,
"MEX","Mexico","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",15313.9399579411,,
"ISR","Israel","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",33018.9879986887,,
"ISR","Israel","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",34071.6082115378,,
"ISR","Israel","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",35067.4493018789,,
"SVN","Slovenia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",33699.331893987,,
"SVN","Slovenia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",34732.3770193207,,
"SVN","Slovenia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",34932.728296191,,
"EST","Estonia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2017","2017",22839.678852084,,
"EST","Estonia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2017","2017",23935.4331284194,,
"EST","Estonia","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2017","2017",24335.9751038841,,
"ISL","Iceland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",51758.6170530446,,
"ISL","Iceland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",56093.5853787221,,
"ISL","Iceland","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",61786.8873117399,,
"ISL","Iceland","USDEX","In 2017 constant prices at 2017 USD exchange rates","2015","2015","USD","US Dollar","0","Units","2016","2016",75946.7766147927,,
"ISL","Iceland","USDEX","In 2017 constant prices at 2017 USD exchange rates","2016","2016","USD","US Dollar","0","Units","2016","2016",82307.5893607172,,
"ISL","Iceland","USDEX","In 2017 constant prices at 2017 USD exchange rates","2017","2017","USD","US Dollar","0","Units","2016","2016",90661.5206426203,,
"NZL","New Zealand","USDPPP","In 2017 constant prices at 2017 USD PPPs","2015","2015","USD","US Dollar","0","Units","2016","2016",38472.9389493331,,
"NZL","New Zealand","USDPPP","In 2017 constant prices at 2017 USD PPPs","2016","2016","USD","US Dollar","0","Units","2016","2016",39674.4730156623,,
"NZL","New Zealand","USDPPP","In 2017 constant prices at 2017 USD PPPs","2017","2017","USD","US Dollar","0","Units","2016","2016",40042.6295981091,,
