"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TUR","Turkey","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,5.0589717,,
"TUR","Turkey","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,6.0706937,,
"TUR","Turkey","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,5.8947731,,
"MEX","Mexico","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,0.8921963,,
"MEX","Mexico","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,0.9220853,,
"MEX","Mexico","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,0.9528877,,
"SVK","Slovak Republic","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,3.4217528,,
"SVK","Slovak Republic","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,3.4217528,,
"SVK","Slovak Republic","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,3.4217528,,
"EST","Estonia","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,2.6187866,,
"EST","Estonia","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,2.8831673,,
"EST","Estonia","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,3.0473025,,
"ISR","Israel","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,5.5987587,,
"ISR","Israel","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,5.8451579,,
"ISR","Israel","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,6.154,,
"BEL","Belgium","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,10.140178,,
"BEL","Belgium","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,10.043882,,
"BEL","Belgium","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,10.031895,,
"IRL","Ireland","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,8.7103932,,
"IRL","Ireland","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,9.2131189,,
"IRL","Ireland","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,9.2821999,,
"AUS","Australia","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,11.027451,,
"AUS","Australia","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,11.156155,,
"AUS","Australia","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,11.255571,,
"JPN","Japan","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,7.1952629,,
"JPN","Japan","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,7.4275921,,
"JPN","Japan","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,7.5602137,,
"HUN","Hungary","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,2.2614737,,
"HUN","Hungary","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,2.3831116,,
"HUN","Hungary","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,2.6429005,,
"GRC","Greece","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,4.896385,,
"GRC","Greece","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,4.9371489,,
"GRC","Greece","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,4.8824045,,
"GBR","United Kingdom","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,8.7332996,,
"GBR","United Kingdom","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,8.9240579,,
"GBR","United Kingdom","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,9.0475841,,
"ISR","Israel","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,6.7940109,,
"ISR","Israel","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,7.0930127,,
"ISR","Israel","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,7.468,,
"BEL","Belgium","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,10.224112,,
"BEL","Belgium","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,10.127019,,
"BEL","Belgium","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,10.114933,,
"NZL","New Zealand","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,10.655804,,
"NZL","New Zealand","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,10.949223,,
"NZL","New Zealand","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,11.105521,,
"KOR","Korea","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,5.0810768,,
"KOR","Korea","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,5.4380014,,
"KOR","Korea","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,5.7235129,,
"SVN","Slovenia","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,5.1970915,,
"SVN","Slovenia","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,5.1999515,,
"SVN","Slovenia","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,5.2189456,,
"LUX","Luxembourg","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,12.784994,,
"LUX","Luxembourg","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,12.747918,,
"LUX","Luxembourg","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,13.015595,,
"PRT","Portugal","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,5.1116951,,
"PRT","Portugal","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,5.3323018,,
"PRT","Portugal","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,5.5282879,,
"CHL","Chile","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,1.9372163,,
"CHL","Chile","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,2.043727,,
"CHL","Chile","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,2.1281596,,
"USA","United States","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,7.497846,,
